0,1,2
1.62,4.86,5.9399999999999995
1.53,4.68,6.12
1.53,4.59,6.12
1.44,4.32,6.030000000000001
1.44,4.140000000000001,6.12
1.3499999999999999,3.87,6.39
1.2600000000000002,3.69,6.659999999999999
1.08,3.69,6.57
0.99,3.51,6.75
0.81,3.1499999999999995,6.93
0.9000000000000001,2.9699999999999998,6.659999999999999
0.9000000000000001,3.06,6.57
0.99,2.9699999999999998,6.57
1.17,3.24,6.39
1.3499999999999999,3.7800000000000002,6.75
1.53,3.96,6.75
1.8900000000000001,3.96,6.840000000000001
1.8900000000000001,3.69,6.840000000000001
1.8900000000000001,3.6000000000000005,6.57
1.98,3.4200000000000004,6.57
1.8000000000000003,3.3299999999999996,6.659999999999999
1.7100000000000002,3.1499999999999995,6.39
1.62,2.9699999999999998,6.030000000000001
1.8000000000000003,2.6999999999999997,5.76
0.4680232558139535,0.3313953488372093,0.2005813953488372
